date,product,region,sales,units,profit
2026-05-01,Classic Chair,West,1240.50,10,340.20
2026-05-01,Modern Desk,East,890.00,5,210.00
2026-05-02,Office Lamp, 14,112.15
2026-05-02,Classic Chair,South,1320.00,11,360.00
2026-05-03,Modern Desk,West,760.00,4,176.00
2026-05-03,Office Lamp,East,610.50,16,122.10
2026-05-04,Classic Chair,North,1180.00,9,318.00
2026-05-04,Modern Desk,South,920.00,6,230.00
2026-05-05,Office Lamp,West,585.25,13,117.05
2024, Sample Of Missing Data, 324, 53,
2026-05-05,Classic Chair,East,1275.00,10,348.75
2026-05-05,Classic Chair,East,1275.00,10,348.75
